question,answer,category,similar_questions
"这个产品怎么用？","您好，产品使用方法如下：1. 开箱后检查配件是否齐全 2. 阅读产品说明书 3. 按照步骤操作。如有问题可查看我们的视频教程或联系客服。","售前咨询","怎么用;使用方法;操作指南;说明书;教程"
"产品有什么功能？","这款产品具有多种实用功能，主要包括：核心功能 A、智能功能 B、便捷功能 C。具体功能详情可查看商品详情页或咨询客服。","售前咨询","有什么功能;功能介绍;产品功能;主要功能"
"产品质量怎么样？","我们的产品经过严格质量检测，合格率 99% 以上，提供 1 年质保服务，支持 7 天无理由退换，请您放心购买。","售前咨询","质量好吗;质量可靠吗;品质如何;质量保障"
"保修期多久？","本产品享受全国联保服务，整机保修 1 年，主要部件保修 3 年。保修期内非人为损坏免费维修。","售前咨询","保修多久;质保期;保修政策;售后服务"
"有现货吗？","您好，页面显示有库存的商品都有现货，下午 4 点前下单当天发货，4 点后下单次日发货。","售前咨询","有货吗;库存;什么时候发货;现货"
"什么时候能到？","发货后一般 2-5 天到达，具体时效取决于您所在地区和快递公司。偏远地区可能稍慢 1-2 天。","售前咨询","多久能到;配送时间;几天到;物流时效"
"包邮吗？","本店全场满 99 元包邮，不满 99 元收取 10 元运费。新疆、西藏、港澳台及海外地区不包邮。","售前咨询","运费多少;包不包邮;配送费;快递费"
"可以货到付款吗？","支持货到付款服务，下单时选择'货到付款'即可。部分偏远地区可能不支持，以页面显示为准。","售前咨询","货到付款;到付;现金支付;当面付款"
"如何支付？","我们支持多种支付方式：支付宝、微信支付、银联卡、花呗分期等。下单时可选择便捷的支付方式。","售前咨询","怎么付款;支付方式;付款方法;可以分期吗"
"有优惠券吗？","关注店铺可领取 5 元无门槛优惠券，满 199 减 20、满 299 减 30 等大额券。会员还有专属优惠券。","售前咨询","优惠券;折扣;满减;活动"
"能便宜点吗？","亲，我们已经是底价销售了哦~ 不过您可以领取店铺优惠券，或者关注我们的促销活动。","售前咨询","能优惠吗;便宜点;最低价;打折"
"买多有优惠吗？","购买 2 件享受 9.5 折，3 件以上享受 9 折优惠。批发客户请联系客服获取更优惠的价格。","售前咨询","批发价;团购;多买优惠;批量购买"
"可以开发票吗？","支持开具正规增值税发票。下单时备注发票抬头和税号，发票将随货寄出或电子发票发送至邮箱。","售前咨询","开发票;发票;税票;报销凭证"
"产品是什么材质？","这款产品采用优质材料制作，具体材质请查看商品详情页的'规格参数'栏目，或咨询客服获取详细信息。","售前咨询","材质;材料;什么做的;成分"
"有哪些颜色？","这款产品有多种颜色可选：经典黑、优雅白、时尚红、商务蓝等。具体可选颜色以页面显示为准。","售前咨询","颜色;配色;有什么颜色;颜色选择"
"尺寸是多少？","产品尺寸请查看商品详情页的'规格参数'，我们会提供详细的长宽高数据。也可咨询客服获取建议。","售前咨询","尺寸;大小;规格;多大"
"适合什么人群？","这款产品适合大多数人群使用，特别适合 [目标人群]。具体适用人群请参考商品详情或咨询客服。","售前咨询","适合谁;适用人群;谁可以用;推荐人群"
"产地是哪里？","我们的产品均为正规厂家生产，产地为中国 [具体省份]。所有产品都有质量合格证，请放心购买。","售前咨询","产地;哪里生产;生产厂家;品牌"
"有说明书吗？","每款产品都配有中文说明书，包含产品介绍、使用方法、注意事项等内容。也提供电子版说明书下载。","售前咨询","说明书;使用手册;操作指南;教程"
"怎么安装？","产品安装很简单，说明书中有详细安装步骤。我们也提供安装视频教程，如有困难可联系客服指导。","售前咨询","怎么安装;安装方法;难安装吗;安装教程"
"我的订单到哪了？","您可以在'我的订单'中查看物流状态，或提供订单号帮您查询。一般发货后 2-5 天送达。","订单查询","订单查询;物流查询;订单状态;我的订单"
"发货了吗？","您的订单我们会及时发货，发货后会有短信通知。请提供订单号帮您查询具体发货状态。","订单查询","发货状态;发没发货;什么时候发货;已发货吗"
"物流怎么还没到？","物流时效受多种因素影响，请提供订单号帮您查询。如遇物流延误，我们会催促快递公司。","订单查询","物流慢;还没到;物流信息;快递进度"
"能修改收货地址吗？","未发货的订单可以修改地址，请提供订单号和新地址。已发货的订单需要联系快递公司修改。","订单查询","改地址;修改地址;换地址;地址错了"
"订单能取消吗？","未发货的订单可以申请取消，在'我的订单'中操作或联系客服。已发货的订单需要拒收或申请退货。","订单查询","取消订单;退款;不想要了;申请退款"
"收到货破损了怎么办？","如收到货有破损，请拍照并拒收，我们会重新发货。如已签收，请在 24 小时内联系客服处理。","售后服务","破损;损坏;碎了;坏了"
"发错货了怎么办？","非常抱歉发错货了！请联系客服，我们会安排补发或退货退款，并承担往返运费。","售后服务","发错;颜色错了;型号不对;发错商品"
"少发了东西怎么办？","请提供订单号和缺少物品照片，核实后我们会立即补发或退还相应金额。","售后服务","少发;漏发;缺少配件;东西不全"
"产品有质量问题怎么办？","如产品有质量问题，7 天内可退货，15 天内可换货。请提供照片或视频，我们会快速处理。","售后服务","质量问题;坏了;故障;不好用"
"怎么申请退货？","在'我的订单'中找到对应订单，点击'申请退货'，选择退货原因，提交后按提示寄回商品即可。","售后服务","退货;退款;不要了;申请退款"
"退货地址是什么？","退货地址会在退货申请通过后显示，不同地区有不同退货仓库。请按系统提供的地址寄回。","售后服务","退到哪;退货地址;寄回地址;退回哪里"
"退货运费谁承担？","质量问题或发错货由我们承担运费；7 天无理由退货由买家承担运费。建议购买运费险。","售后服务","运费;快递费;谁出运费;退货运费"
"退款多久到账？","我们收到退货后 1-3 个工作日处理退款，退款会原路返回。支付宝/微信即时到账，银行卡 3-7 天。","售后服务","退款时间;多久到账;什么时候退款;退钱"
"可以换货吗？","支持换货服务，在'我的订单'中申请换货，选择换货原因，寄回商品后我们会发出新商品。","售后服务","换货;换颜色;换尺码;换型号"
"换货运费怎么算？","质量问题换货我们承担往返运费；非质量问题换货，买家承担寄回运费，我们承担寄出运费。","售后服务","换货运费;运费谁出;换货费用"
"产品不会用怎么办？","我们有详细的使用说明书和视频教程。如仍有问题，可联系客服获得一对一指导服务。","售后服务","不会用;怎么用;使用问题;操作问题"
"配件能单独买吗？","大部分配件都可以单独购买，请在店铺搜索配件名称或联系客服咨询价格和购买方式。","售后服务","配件;单独购买;买配件;替换件"
"有维修服务吗？","保修期内免费维修，保修期外提供有偿维修服务。具体维修费用需检测后确定。","售后服务","维修;修理;坏了怎么修;维修点"
"产品能保修吗？","所有产品都享受保修服务，保修期从签收之日起计算。请妥善保管购买凭证。","售后服务","保修;质保;维修保障;售后服务"
"过了保修期还能修吗？","过了保修期仍可提供维修服务，需收取配件费和人工费。具体费用检测后告知。","售后服务","过保;保修期外;超期维修;付费维修"
"如何联系客服？","可通过以下方式联系客服：1. 在线客服（页面右下角）2. 电话客服 3. 微信客服 4. 邮件客服","通用问题","联系客服;客服电话;在线客服;联系方式"
"客服工作时间？","在线客服工作时间：8:00-23:00；电话客服：9:00-18:00。非工作时间可留言，我们会尽快回复。","通用问题","上班时间;工作时间;客服在线;什么时候在线"
"你们是正品吗？","我们所有商品都是正品，支持专柜验货，假一赔十。店铺已缴纳保证金，请放心购买。","通用问题","正品吗;是真的吗;真假;专柜正品"
